lang,query,url,title,error,desktop_error,author,author_error,group_author,group_author_error,message,case_date
be,Кубак Дэвіса,https://vk.com/video-202752058_456239157,"Кубок Дэвиса 2021 | Россия — Германия, 1/2 финала, 04.12.21",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239100,"Кубок Дэвиса 2021 | Франция — Чехия, групповой этап, 25.11.21",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239614,Микаэль Имер - Диего Шварцман | Кубок Дэвиса | Швеция - Аргентина,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239612,Джейсон Кублер - Зизу Бергс | Кубок Дэвиса | Австралия - Бельгия,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239613,Алекс Де Минор - Давид Гоффен | Кубок Дэвиса | Австралия - Бельгия,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239650,Оскар Отте - Давид Гоффен | Кубок Дэвиса | Германия - Бельгия,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239630,Альберт Рамос-Виньолас - Ласло Джере | Кубок Дэвиса | Испания - Сербия,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239684,Кевин Кравитц / Тим Пютц - Мэттью Эбден / Макс Пёрселл | Кубок Дэвиса | Германия - Австралия,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239118,"Кубок Дэвиса 2021 | Россия — Эквадор, групповой этап, 27.11.21",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239703,Фабио Фоньини / Симоне Болелли - Джек Сок / Томми Пол | Италия - США | Кубок Дэвиса. Четвертьфинал,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
